SolutionId,Timestamp,ExpectedResponses,TotalCost,CustomerValue,TotalAssignments,MaxHourlyLoad,UtilizationRate,EmailAssignments,SmsAssignments,PushAssignments,InAppAssignments,AvgResponseRate,CostPerResponse
0,20250701_184653,120.07643228659023,63.89999999999986,12969.972410590246,486,9,0.486,114,118,151,103,0.24707084832631734,0.532161047619134
1,20250701_184653,121.72328362804359,64.49999999999986,12886.999813880697,487,8,0.487,115,120,148,104,0.24994514092000736,0.5298904045104139
2,20250701_184653,120.07643228659023,63.89999999999986,12969.972410590246,486,9,0.486,114,118,151,103,0.24707084832631734,0.532161047619134
3,20250701_184653,121.48642331966936,64.24999999999986,12889.210986527134,487,8,0.487,116,119,149,103,0.2494587747837153,0.5288656809900288
4,20250701_184653,120.22542390889092,64.39999999999984,12964.802354657391,487,10,0.487,113,120,150,104,0.24686945361168566,0.535660411135696
5,20250701_184653,121.12428015019142,64.29999999999986,12936.1715280945,487,8,0.487,115,119,149,104,0.24871515431250807,0.5308597080640585
6,20250701_184653,121.24084424621554,64.04999999999986,12913.877062164525,487,9,0.487,116,118,150,103,0.24895450563904628,0.5282873143800229
7,20250701_184653,121.40031426095096,64.54999999999986,12905.190840235877,489,8,0.489,116,120,150,103,0.24826240135163796,0.5317119679051991
8,20250701_184653,120.9536337557066,64.19999999999985,12944.464616213925,487,8,0.487,115,118,149,105,0.2483647510384119,0.5307819038299119
9,20250701_184653,120.26725123123232,64.64999999999985,12949.714143102481,487,10,0.487,112,122,150,103,0.24695534133723268,0.5375528195593351
